community,type,post_id,text,likes,reposts,views,date
arzamas.academy,post,154943,"Новый курс — «Апокалипсис. Как правильно его ждать»!

Как разные мифологии изображали конец света и почему христиане считают, что мир должен неизбежно закончиться катастрофой? Для кого написан текст Откровения Иоанна Богослова? Что означают символы в Апокалипсисе: семь труб, семь печатей, жена, одетая в солнце, вавилонская блудница, съеденная книга, война ангелов с драконом? Библеист и культуролог Анна Шмаина-Великанова прочитала для нас пять лекций:

— Почему мир закончится катастрофой
— Сколько было апокалипсисов
— Кто написал Откровение Иоанна Богослова
— О чем рассказывает Откровение Иоанна Богослова
— Загадки и главные смыслы Апокалипсиса

Слушайте третью лекцию бесплатно прямо в комментариях, а весь курс доступен по подписке на нашем сайте и в приложении «Радио Arzamas»: https://open.arzamas.academy/a/2187?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel",70,31.0,13706.0,2026-04-23 12:53:10
arzamas.academy,comment,154943,Третью лекцию можно послушать бесплатно: https://vk.com/podcast-78423275_456240030,1,,,2026-04-23 12:55:08
arzamas.academy,comment,154943,Ещё один бред..,0,,,2026-04-24 22:20:55
arzamas.academy,comment,154943,,0,,,2026-04-24 22:21:08
arzamas.academy,post,155161,"Подборка об Африке!

Собрали материалы об африканской истории и культуре — своенравных джиннах и волшебных деревьях, «щелкающем» языке бушменов и традиционных блюдах, годах работорговли, колониального режима и авторитаризма и искусстве, в котором они зафиксированы. 

🎧 Аудио

Курс «Африканская магия для начинающих»
https://open.arzamas.academy/a/2051?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

Лекция «Йоханнесбург и апартеид»
https://open.arzamas.academy/a/1711/11609?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

Лекция «Гумилев в Африке»
https://open.arzamas.academy/a/2002/13231?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

📖 Тексты

10 вопросов об Африке
https://arzamas.academy/mag/409-afrika?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

11 слов, помогающих понять эфиопскую культуру
https://arzamas.academy/mag/820-ethiopia?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

11 слов, помогающих понять культуру суахилийцев
https://arzamas.academy/mag/1181-ugali?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

Краткая история Конго в семи картинах
https://arzamas.academy/mag/452-congo?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

9 цитат из «Африканского дневника» Николая Гумилева
https://arzamas.academy/mag/1023-gumilev?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

Краткий словарь гумилевской экзотики
https://arzamas.academy/materials/799?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

🧩Тест

От джиннов до живых мертвецов: тест на знание африканской магии
https://arzamas.academy/mag/1223-djinni?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel

Неизвестный художник из Мбандаки. Леопард. 1968 год
© Royal Museum for Central Africa, Tervuren; Музей современного искусства «Гараж»",6,4.0,1380.0,2026-05-01 11:00:05
arzamas.academy,post,155146,"Петр Кончаловский и саратовские символисты — в новом эпизоде подкаста «Зачем я это увидел?»!

В новом выпуске Илья Доронченков и Кирилл Головастиков обсудили выставки «Петр Кончаловский. Сад в цвету» в Русском музее и «Волга. Москва. Нева» в «Рабочем и колхознице». Внутри выпуска: 

— сущность термина «сезаннизм»,
— Петр Кончаловский как кастрюля с наваристым бульоном,
— компромиссы и внесоветскость художника,
— жизнь и метаморфозы символистского искусства в СССР.

Слушайте выпуск бесплатно прямо тут, на нашем сайте или в приложении «Радио Arzamas»: https://open.arzamas.academy/a/1/15455?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel",20,8.0,8335.0,2026-04-30 19:33:07
arzamas.academy,comment,155146,Выпуск можно послушать по ссылке: https://vk.com/podcast-78423275_456240032,0,,,2026-04-30 19:36:29
arzamas.academy,post,155140,"Федор Достоевский плохо обращался с женой, ходил в бордели и подцепил сифилис?

У Достоевского было две жены. С первой, Марией Дмитриевной Исаевой, он действительно вел себя не лучшим образом. Перед свадьбой не сказал ей, что с ним случаются приступы падучей (эпилепсии). А потом завел любовницу и уехал с ней за границу, бросив жену умирать от чахотки. И это не считая мелких бытовых скандалов.

Во втором браке ситуация была лучше. Новая супруга, в девичестве Анна Григорьевна Сниткина, явно старалась показать, что у них все было хорошо. Расшифровывая свой записанный стенографическими знаками дневник за 1867 год, она значительно сократила и смягчила описания ссор с мужем. Но ни измен, ни обманов в их жизни не было.

В бордели Достоевский ходил только в юности. В письме к брату 1845 года есть исчерпывающее свидетельство: «Минушки, Кларушки, Марианны и т. п. похо­рошели донельзя, но стоят страшных денег. На днях Тургенев и Белинский разбранили меня в прах за беспорядочную жизнь». На сифилис, впрочем, он тогда не жаловался, только на геморрой и расстройство нервов.

Разбираемся, какие мифы о писателе правдивы, а какие — нет, в «Журнале»: https://arzamas.academy/mag/922-dostoevsky?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel  

Анна Григорьевна Достоевская — вторая жена писателя
Мария Дмитриевна Достоевская — первая жена писателя
© Ѳедоръ Достоевскiй. Антология жизни и творчества",39,11.0,9406.0,2026-04-30 15:00:09
arzamas.academy,comment,155140,"А если и ходил, то что теперь. Не нужно никого делать святыми, только потому, что они культурное плато. Это не только писателей касается. Хотя человеческая натура именно такова.",1,,,2026-04-30 15:15:38
arzamas.academy,comment,155140,"Есть ли среди классиков хоть один, кто хорошо относился к жене и не покупал людей... 
Апдейт: и вообще к женщинам, с которыми у них была связь.",2,,,2026-04-30 15:30:06
